seg_id,time_to_failure
seg_00f3b9,3.9204779
seg_d320f5,4.1756954
seg_7cef95,7.0249834
seg_bc07c8,2.0106697
seg_4ad674,5.0469084
seg_b4402d,10.51631
seg_dc5e63,2.6048567
seg_3d06cc,5.6070943
seg_103b32,3.935397
seg_13468a,5.1252217
seg_98ebaa,10.503118
seg_492dc6,4.722231
seg_650de2,4.748767
seg_434c96,2.4591987
seg_b26368,4.2962136
seg_a55540,9.185431
seg_19515c,5.947948
seg_8c0114,3.6263008
seg_b20487,9.744131
seg_1abcaf,2.179183
seg_93f935,5.100537
seg_ab4bca,2.7580864
seg_37608b,5.1779222
seg_335170,2.2964315
seg_a25c46,4.6835814
seg_f650cc,3.2796152
seg_4ae712,9.207659
seg_1fa983,3.31546
seg_695380,2.7863567
seg_4d8f0f,5.385696
seg_ea9d37,3.5263617
seg_1f3ede,3.9677944
seg_71c9e9,3.2351167
seg_eaa0ec,7.523951
seg_34ef79,4.804115
seg_9872f9,5.7687855
seg_211299,6.822524
seg_9bab11,9.658586
seg_d7967e,9.6289
seg_2f4f14,4.5601454
seg_a68007,4.006055
seg_97ad82,8.365707
seg_ea9fa4,9.086503
seg_e30ef5,3.5373197
seg_268956,5.1964116
seg_025e78,5.7634077
seg_3cbccf,4.611303
seg_e30e44,3.0099974
seg_a91c03,6.4905977
seg_f734c8,8.342722
seg_ff2f2d,6.3619347
seg_5470ca,5.2526917
seg_b36c8a,2.8862197
seg_0dc38f,2.1795063
seg_e53a52,4.7914314
seg_316f86,3.7936153
seg_1b08a4,6.0873957
seg_468fdb,3.2984986
seg_13e25f,7.5190787
seg_5bc0b0,8.467135
seg_8c1cca,5.055921
seg_e9a09f,4.5114846
seg_dcb51d,4.8216963
seg_c60f1d,2.7390041
seg_46b84d,6.873986
seg_016913,4.8195148
seg_ead30e,4.9953566
seg_3878d0,3.9550948
seg_ebec3e,2.726838
seg_c5c6ea,6.4633884
seg_ed7f69,3.3175507
seg_247262,5.270848
seg_a86231,4.933775
seg_5887a8,10.064472
seg_94a133,4.4351835
seg_be0cdc,2.8853738
seg_4e0c4a,10.45722
seg_eabb2c,10.064533
seg_e72f10,8.820481
seg_7bf143,2.9178247
seg_76c2fa,4.342276
seg_be0dfa,7.1957316
seg_f931de,4.15165
seg_39ad50,1.834428
seg_383b6b,5.167565
seg_6c909f,3.2724683
seg_8f3247,8.1002
seg_74ce61,8.437152
seg_4c18e2,2.6289425
seg_91cff2,3.7511976
seg_4dbbd1,8.157391
seg_166f70,10.24207
seg_741fc1,8.679786
seg_79dc90,7.892889
seg_ad3cf0,3.727723
seg_24ba8d,5.687959
seg_ae9761,10.896985
seg_e40d64,7.379069
seg_8d3a9d,6.9112654
seg_5cde88,2.2029607
seg_552b8e,9.607948
seg_9d68cf,4.9355464
seg_3aca44,3.3828573
seg_9dea8d,7.1230154
seg_17e596,8.474395
seg_92a5f1,6.757364
seg_3f5be6,4.9389896
seg_92af10,8.16101
seg_35b009,4.604626
seg_6a45a0,4.5162177
seg_7cbb45,4.45129
seg_d3992e,9.657788
seg_82c138,7.597262
seg_6c8a45,4.899312
seg_8d135f,7.8405886
seg_1f5240,3.738817
seg_b9361a,4.7112174
seg_5b7325,3.8607075
seg_eebbc2,5.415334
seg_c5dee4,2.1027074
seg_ecf81b,8.2457485
seg_9a43ef,8.584657
seg_c42952,6.7665634
seg_2efd5c,8.7270565
seg_91596c,7.579843
seg_9f6315,5.284598
seg_00cc91,4.47791
seg_c5256d,6.951183
seg_64be5d,8.679348
seg_0c9aa8,9.512863
seg_46012e,9.085219
seg_ebe36c,6.144729
seg_89791c,4.065464
seg_670bde,3.6900947
seg_907c52,5.943976
seg_7480f4,8.142089
seg_e34052,4.453607
seg_71b4e0,3.7486572
seg_cb0e21,10.213857
seg_477c83,5.6313977
seg_27b7c8,8.260591
seg_0cdcc8,2.7428842
seg_d5df41,8.045282
seg_fdba93,4.735846
seg_c472cf,8.987403
seg_d1a2b9,3.592541
seg_b31961,5.214987
seg_e92526,4.7776113
seg_75ffc9,6.1499248
seg_c17817,2.272432
seg_81bebd,9.074986
seg_95b321,2.5329924
seg_b08e9d,9.049327
seg_b8bb87,11.36412
seg_0488a1,7.7944813
seg_d88da7,7.8235846
seg_ff7478,7.4549317
seg_83cb2c,4.5110354
seg_ba3e74,4.0842924
seg_9bee43,3.951548
seg_c27591,4.270054
seg_56ebc7,3.9662025
seg_091c9d,8.906286
seg_33c30d,3.691649
seg_3b95dc,4.693526
seg_3c4106,3.426699
seg_6b4e04,9.862384
seg_1a8e06,3.5784552
seg_d31583,9.674906
seg_a2c108,9.784595
seg_be4612,10.203069
seg_1a671a,4.7190237
seg_e481c7,7.3347363
seg_2d7cc4,4.9536166
seg_d0c280,1.8678774
seg_6fc3ef,8.767093
seg_a56c04,3.7157874
seg_19e1ff,6.970266
seg_89b090,2.1851869
seg_d42c77,7.5981236
seg_301c1e,7.358168
seg_324447,6.975102
seg_1e0523,3.7161572
seg_702e03,3.7919984
seg_fedbd1,8.804095
seg_88a81d,4.7239695
seg_a00985,5.5654745
seg_76f1af,3.1846929
seg_0d540e,2.767473
seg_0125d9,4.997004
seg_705463,3.5967774
seg_e80726,5.214194
seg_75cd6a,4.8436065
seg_563059,6.947022
seg_8f5589,6.8930798
seg_8ab3a7,2.3270397
seg_84a65d,9.97849
seg_4d18f4,3.2259817
seg_37669c,2.0920458
seg_95f45e,8.852481
seg_76b76f,10.756098
seg_c627fc,7.5770216
seg_b42170,3.2729454
seg_6c292b,6.0977592
seg_a9f80e,8.398375
seg_94aa0a,6.7957773
seg_1f7cf8,3.3338487
seg_fb1f5c,8.446827
seg_0144cb,4.9504538
seg_3631ec,4.81974
seg_52636c,2.342915
seg_bf2d1f,7.686626
seg_cd699e,2.8005881
seg_f59974,8.974509
seg_3f99c8,2.141667
seg_37bf85,2.434016
seg_850d95,2.9425085
seg_62c582,3.097939
seg_6de4fd,7.9802933
seg_fea3e2,7.906313
seg_49b0cb,10.308617
seg_596ae3,7.4870234
seg_bce23c,6.8399796
seg_bd629b,5.137975
seg_dcf242,5.8289294
seg_fa0ac7,7.2998605
seg_00030f,3.179949
seg_974049,4.9013934
seg_e47d2b,3.9416523
seg_0b48c4,3.824066
seg_63130f,9.604512
seg_d07ce8,8.996284
seg_420bcc,6.2539997
seg_b6bdaa,6.695756
seg_e90c0d,6.864845
seg_655780,3.7458506
seg_e8a4f4,5.0760446
seg_d5dbc1,3.66757
seg_c08d36,5.1951075
seg_f7050a,5.248759
seg_f865be,2.603875
seg_fde86d,7.136653
seg_7ce9cb,4.261695
seg_0b76f5,10.827755
seg_4f48b4,2.2278275
seg_2a0dc0,8.8115
seg_a50d28,9.312844
seg_27de37,8.546427
seg_a5f4dd,4.4889097
seg_740837,2.8204496
seg_eee89d,3.1981807
seg_a9089b,2.812648
seg_5c0929,4.733443
seg_3661de,9.696418
seg_da7c3b,9.272544
seg_01c775,8.003561
seg_f639cd,9.842556
seg_81c1a6,9.577737
seg_337b8c,5.103931
seg_86cfe9,8.979724
seg_2b6d52,7.9512477
seg_616c8b,9.697431
seg_655ad6,6.316861
seg_d962cc,10.208627
seg_74537f,6.9320397
seg_c25855,7.5553226
seg_0df75c,10.856587
seg_14d1d3,5.170775
seg_d63175,6.7658615
seg_a53e4c,6.3781404
seg_430e66,6.72628
seg_ba5e7e,4.66931
seg_9c6715,3.6729732
seg_35b753,6.3813457
seg_d29a4b,4.395855
seg_d1cb37,10.137371
seg_c26fb4,3.7784808
seg_6b9511,7.8401985
seg_12ee6e,4.0377274
seg_bbb01e,6.9989495
seg_77fe77,6.8455863
seg_d44589,5.1242733
seg_35a2d7,9.030464
seg_06bbc5,2.8186371
seg_e8a2c4,5.6809306
seg_39a886,6.896483
seg_59cfdb,9.497525
seg_83bef8,5.3214192
seg_32906d,2.0704446
seg_170a0c,10.154685
seg_64be91,9.472653
seg_bff05e,9.039804
seg_1827c5,8.048618
seg_71b975,3.8983998
seg_f43ab6,1.8804462
seg_bd31bf,6.006274
seg_666056,4.334848
seg_a8e71a,4.392316
seg_ec973c,12.140095
seg_8ebdea,8.20347
seg_d07c62,3.0577645
seg_137f8a,8.221283
seg_1eae76,5.5166454
seg_814b1f,1.7456115
seg_e2b8b1,9.290879
seg_abb06a,6.403987
seg_9fe8b9,5.5571346
seg_17d1ff,4.287247
seg_c747b4,3.5615976
seg_696621,5.5015187
seg_eba22d,9.634601
seg_76e914,4.6854687
seg_90c258,10.143842
seg_122ba9,4.065315
seg_cec2f2,7.1400294
seg_07f37c,4.1339464
seg_2465ce,6.580178
seg_da21ee,10.796302
seg_9626a4,2.7897549
seg_868c85,7.293159
seg_6ab188,6.3752007
seg_845a2a,9.381668
seg_d356ab,4.694206
seg_7e9eb7,10.480173
seg_9df32d,4.4637914
seg_05e0d7,5.4376063
seg_585872,7.672214
seg_f60872,6.5273175
seg_a0a423,2.7247732
seg_cd352f,10.256746
seg_68da94,4.2195525
seg_03d386,2.1701999
seg_a63573,5.632309
seg_a96b47,4.596841
seg_ce9f59,5.072824
seg_cf0e43,5.4863086
seg_6fc8b3,6.7464247
seg_659ff8,5.0248713
seg_98f624,8.882719
seg_4743ab,7.3907433
seg_496dad,2.6448553
seg_274a1a,6.5008965
seg_e2209b,5.0169997
seg_80fb86,6.104671
seg_e49750,5.612426
seg_3065ba,4.750717
seg_7f93b2,3.25167
seg_ce7537,2.6536615
seg_622e9d,3.4909248
seg_0aa0fb,7.2227583
seg_04ee93,7.7436175
seg_bf58ce,6.966953
seg_d0f803,5.0456376
seg_3f3689,3.590079
seg_746d1d,5.265613
seg_06b8c9,5.6889153
seg_15bf25,8.14034
seg_8f6284,4.6274657
seg_070bb0,2.0880587
seg_14c8ce,7.3383436
seg_d3bb14,3.6242163
seg_634180,4.595447
seg_180481,6.0548177
seg_0445d7,5.673076
seg_c3836b,4.960361
seg_12ac20,11.165042
seg_f01368,6.3379636
seg_5147e1,4.6970077
seg_bb92b1,6.9362965
seg_8c6e34,2.6052356
seg_7cdfe5,4.036085
seg_bb180c,4.949742
seg_e8ce6a,3.0463674
seg_5e1bba,5.7748575
seg_1b78af,5.247741
seg_d68930,9.294839
seg_de9e32,9.506022
seg_05b66a,9.859627
seg_2db7dc,5.200773
seg_bd4d30,4.9475613
seg_e1f081,7.9653373
seg_30ad2a,2.1275568
seg_32fc4e,8.576467
seg_428d66,3.536257
seg_61b50d,4.5202174
seg_0a45a1,3.4686463
seg_864fcf,4.165143
seg_ddd206,7.0719495
seg_d2ad9a,2.0549035
seg_c11a4f,4.879306
seg_11860f,6.1520596
seg_ac68bb,1.513595
seg_43c6f4,9.045655
seg_92b095,3.4843602
seg_8a8220,6.861968
seg_cc4932,9.05227
seg_cc4199,9.469714
seg_67aa76,5.2711344
seg_651808,3.1647978
seg_581fac,2.4587336
seg_ce72e2,4.4238553
seg_1e61d6,2.3446763
