seg_id,time_to_failure
seg_00f3b9,4.853011
seg_d320f5,4.31821
seg_7cef95,7.9181185
seg_bc07c8,2.1035557
seg_4ad674,5.3109355
seg_b4402d,10.863434
seg_dc5e63,2.7891083
seg_3d06cc,6.150752
seg_103b32,3.899895
seg_13468a,5.4971457
seg_98ebaa,10.019475
seg_492dc6,4.779771
seg_650de2,4.6186895
seg_434c96,2.1412916
seg_b26368,5.3104258
seg_a55540,10.016326
seg_19515c,5.7804246
seg_8c0114,4.2242785
seg_b20487,8.884742
seg_1abcaf,2.8347619
seg_93f935,4.6186895
seg_ab4bca,2.238523
seg_37608b,5.2017484
seg_335170,2.1035557
seg_a25c46,4.757496
seg_f650cc,4.1552715
seg_4ae712,10.120304
seg_1fa983,3.061282
seg_695380,2.3978815
seg_4d8f0f,5.106233
seg_ea9d37,4.014573
seg_1f3ede,4.5717454
seg_71c9e9,3.8698056
seg_eaa0ec,7.7192473
seg_34ef79,4.779771
seg_9872f9,5.3754964
seg_211299,7.338166
seg_9bab11,9.650123
seg_d7967e,8.683523
seg_2f4f14,4.5470147
seg_a68007,3.69105
seg_97ad82,7.442175
seg_ea9fa4,6.373471
seg_e30ef5,4.344596
seg_268956,5.3754964
seg_025e78,5.8910513
seg_3cbccf,4.845838
seg_e30e44,2.2211711
seg_a91c03,7.465105
seg_f734c8,8.932806
seg_ff2f2d,5.9179316
seg_5470ca,5.4270897
seg_b36c8a,2.3978815
seg_0dc38f,2.1035557
seg_e53a52,5.3109355
seg_316f86,4.772947
seg_1b08a4,5.5413146
seg_468fdb,4.00167
seg_13e25f,7.338166
seg_5bc0b0,8.135361
seg_8c1cca,4.9746
seg_e9a09f,4.4064226
seg_dcb51d,4.750323
seg_c60f1d,3.0770247
seg_46b84d,7.38252
seg_016913,4.69193
seg_ead30e,4.9746
seg_3878d0,4.853011
seg_ebec3e,2.7891083
seg_c5c6ea,7.5206175
seg_ed7f69,3.6222486
seg_247262,5.2703648
seg_a86231,5.592798
seg_5887a8,9.013403
seg_94a133,5.071179
seg_be0cdc,2.2131493
seg_4e0c4a,9.617229
seg_eabb2c,9.960074
seg_e72f10,7.659601
seg_7bf143,2.4222045
seg_76c2fa,4.2174163
seg_be0dfa,7.465105
seg_f931de,4.690409
seg_39ad50,2.4167714
seg_383b6b,5.3754964
seg_6c909f,4.2906637
seg_8f3247,7.9181185
seg_74ce61,8.354868
seg_4c18e2,2.7891083
seg_91cff2,4.4064226
seg_4dbbd1,7.9537606
seg_166f70,8.964634
seg_741fc1,8.10022
