seg_id,time_to_failure
seg_00f3b9,4.621613
seg_d320f5,4.1674275
seg_7cef95,7.53288
seg_bc07c8,1.9566165
seg_4ad674,5.2902937
seg_b4402d,8.851244
seg_dc5e63,2.9861674
seg_3d06cc,7.0128555
seg_103b32,3.8808184
seg_13468a,5.081603
seg_98ebaa,9.019682
seg_492dc6,4.824258
seg_650de2,4.2426705
seg_434c96,2.3860228
seg_b26368,4.7274384
seg_a55540,9.079826
seg_19515c,5.6833086
seg_8c0114,4.490568
seg_b20487,8.857006
seg_1abcaf,2.3948336
seg_93f935,4.2426705
seg_ab4bca,2.2209148
seg_37608b,4.8980527
seg_335170,2.3897524
seg_a25c46,4.327333
seg_f650cc,4.0895443
seg_4ae712,9.23453
seg_1fa983,3.0776477
seg_695380,2.263292
seg_4d8f0f,4.756222
seg_ea9d37,3.831166
seg_1f3ede,4.2121396
seg_71c9e9,3.7816446
seg_eaa0ec,7.4636145
seg_34ef79,4.5120325
seg_9872f9,5.151594
seg_211299,7.072512
seg_9bab11,10.266537
seg_d7967e,8.80599
seg_2f4f14,4.8089123
seg_a68007,3.851497
seg_97ad82,8.24547
seg_ea9fa4,8.859101
seg_e30ef5,4.3054895
seg_268956,5.1931906
seg_025e78,5.6833086
seg_3cbccf,4.5120325
seg_e30e44,2.2209148
seg_a91c03,7.8626947
seg_f734c8,8.894296
seg_ff2f2d,6.360165
seg_5470ca,5.081603
seg_b36c8a,3.2448063
seg_0dc38f,2.4356887
seg_e53a52,5.151594
seg_316f86,4.9339724
seg_1b08a4,6.0899315
seg_468fdb,3.4976711
seg_13e25f,7.2738523
seg_5bc0b0,9.0020685
seg_8c1cca,4.6440363
seg_e9a09f,4.339488
seg_dcb51d,4.8024945
seg_c60f1d,3.1566994
seg_46b84d,7.6606193
seg_016913,4.2520785
seg_ead30e,4.628692
seg_3878d0,4.033714
seg_ebec3e,2.3170724
seg_c5c6ea,6.969467
seg_ed7f69,3.3323133
seg_247262,5.246555
seg_a86231,5.246555
seg_5887a8,8.360252
seg_94a133,4.704991
seg_be0cdc,2.700514
seg_4e0c4a,8.756532
seg_eabb2c,9.005395
seg_e72f10,6.8909483
seg_7bf143,3.155293
seg_76c2fa,3.8653164
seg_be0dfa,7.8626947
seg_f931de,4.776537
seg_39ad50,2.4042783
seg_383b6b,5.151594
seg_6c909f,4.0288086
seg_8f3247,7.752961
seg_74ce61,8.267708
seg_4c18e2,3.0385444
seg_91cff2,4.2035866
seg_4dbbd1,7.9385715
seg_166f70,8.926283
seg_741fc1,8.9045105
seg_79dc90,7.436813
seg_ad3cf0,3.7456777
seg_24ba8d,5.151594
seg_ae9761,8.583552
seg_e40d64,7.8994837
seg_8d3a9d,7.5121646
seg_5cde88,2.631833
seg_552b8e,8.937532
seg_9d68cf,4.648038
seg_3aca44,3.9546473
seg_9dea8d,7.519102
seg_17e596,7.8570485
seg_92a5f1,6.9515634
seg_3f5be6,5.081603
seg_92af10,8.086596
seg_35b009,4.1874995
seg_6a45a0,4.9520807
seg_7cbb45,4.5120325
seg_d3992e,9.079736
seg_82c138,7.1178265
seg_6c8a45,5.151594
seg_8d135f,8.037506
