seg_id,time_to_failure
seg_00f3b9,5.172058
seg_d320f5,4.2082515
seg_7cef95,6.7898784
seg_bc07c8,2.1544049
seg_4ad674,5.4399886
seg_b4402d,9.243407
seg_dc5e63,2.9026558
seg_3d06cc,6.451779
seg_103b32,3.8076446
seg_13468a,5.1760387
seg_98ebaa,10.254829
seg_492dc6,5.1760387
seg_650de2,4.918128
seg_434c96,2.052969
seg_b26368,4.9844294
seg_a55540,11.29516
seg_19515c,4.1601033
seg_8c0114,3.4822123
seg_b20487,9.732016
seg_1abcaf,2.757451
seg_93f935,5.097161
seg_ab4bca,2.0885735
seg_37608b,5.1760387
seg_335170,2.340159
seg_a25c46,5.1760387
seg_f650cc,4.2104254
seg_4ae712,8.506978
seg_1fa983,2.8458474
seg_695380,2.0885735
seg_4d8f0f,5.1760387
seg_ea9d37,3.6442242
seg_1f3ede,4.584052
seg_71c9e9,3.6471055
seg_eaa0ec,6.8048053
seg_34ef79,4.942563
seg_9872f9,5.1760387
seg_211299,7.4273534
seg_9bab11,9.910284
seg_d7967e,9.637144
seg_2f4f14,4.6638107
seg_a68007,3.7199585
seg_97ad82,7.692938
seg_ea9fa4,8.769383
seg_e30ef5,4.5768733
seg_268956,5.4399886
seg_025e78,4.1601033
seg_3cbccf,5.1760387
seg_e30e44,2.0885735
seg_a91c03,7.670118
seg_f734c8,9.58354
seg_ff2f2d,6.394145
seg_5470ca,5.4399886
seg_b36c8a,2.5131745
seg_0dc38f,2.0318577
seg_e53a52,5.4399886
seg_316f86,4.4624295
seg_1b08a4,6.6784186
seg_468fdb,3.9330907
seg_13e25f,6.7762704
seg_5bc0b0,8.394824
seg_8c1cca,4.918128
seg_e9a09f,3.9138682
seg_dcb51d,5.1760387
seg_c60f1d,3.0349271
seg_46b84d,7.68164
seg_016913,5.1760387
seg_ead30e,5.097161
seg_3878d0,5.0744886
seg_ebec3e,2.7933302
seg_c5c6ea,6.641814
seg_ed7f69,3.8122234
seg_247262,5.4399886
seg_a86231,5.4399886
seg_5887a8,8.576252
seg_94a133,5.4399886
seg_be0cdc,2.2910185
seg_4e0c4a,11.01401
seg_eabb2c,9.923244
seg_e72f10,7.4055066
seg_7bf143,2.777553
seg_76c2fa,4.3066444
seg_be0dfa,7.1338897
seg_f931de,4.4870033
seg_39ad50,2.2881157
seg_383b6b,5.4399886
seg_6c909f,4.0018044
seg_8f3247,7.8766847
seg_74ce61,8.231655
seg_4c18e2,2.7933302
seg_91cff2,4.0671
seg_4dbbd1,7.325955
seg_166f70,9.923096
seg_741fc1,8.002987
seg_79dc90,6.9879694
seg_ad3cf0,3.785156
seg_24ba8d,5.4399886
seg_ae9761,10.5236845
seg_e40d64,7.4055066
seg_8d3a9d,7.4273534
seg_5cde88,2.0318577
seg_552b8e,9.500537
seg_9d68cf,5.4399886
seg_3aca44,4.4154673
seg_9dea8d,7.733381
seg_17e596,8.268521
seg_92a5f1,7.7788663
seg_3f5be6,5.4399886
seg_92af10,7.8766847
seg_35b009,5.0826373
seg_6a45a0,5.4399886
seg_7cbb45,5.1760387
seg_d3992e,10.719154
seg_82c138,7.7788663
seg_6c8a45,5.535877
seg_8d135f,7.8766847
seg_1f5240,3.7762163
seg_b9361a,5.1760387
seg_5b7325,3.9533308
seg_eebbc2,5.4399886
seg_c5dee4,2.3598156
seg_ecf81b,8.496143
seg_9a43ef,7.725935
seg_c42952,6.9687877
seg_2efd5c,8.002987
seg_91596c,7.8129325
seg_9f6315,5.4399886
seg_00cc91,5.1760387
seg_c5256d,6.4157133
seg_64be5d,7.6269608
seg_0c9aa8,10.433282
seg_46012e,9.284365
seg_ebe36c,5.1883464
seg_89791c,3.8639114
seg_670bde,4.5768733
seg_907c52,5.535877
seg_7480f4,8.002987
seg_e34052,4.3783636
seg_71b4e0,3.956041
seg_cb0e21,8.713975
seg_477c83,4.924397
seg_27b7c8,7.906411
seg_0cdcc8,2.572936
seg_d5df41,7.4055066
seg_fdba93,4.684653
seg_c472cf,8.44845
seg_d1a2b9,4.6942205
seg_b31961,5.4399886
seg_e92526,5.1760387
seg_75ffc9,5.3554573
seg_c17817,2.902428
seg_81bebd,9.739751
seg_95b321,2.2910185
seg_b08e9d,10.627502
seg_b8bb87,10.117718
seg_0488a1,7.325955
seg_d88da7,7.8766847
seg_ff7478,7.2036366
seg_83cb2c,5.1350927
seg_ba3e74,5.0962796
seg_9bee43,5.172058
seg_c27591,4.3301563
seg_56ebc7,4.117731
seg_091c9d,8.833773
seg_33c30d,3.3123238
seg_3b95dc,5.4399886
seg_3c4106,3.8230824
seg_6b4e04,10.233682
seg_1a8e06,3.0218809
seg_d31583,8.588741
seg_a2c108,9.283049
seg_be4612,9.252445
seg_1a671a,4.4625688
seg_e481c7,7.5269914
seg_2d7cc4,5.1760387
seg_d0c280,1.8851212
seg_6fc3ef,7.725935
seg_a56c04,3.8515306
seg_19e1ff,7.023216
seg_89b090,1.9312485
seg_d42c77,7.5269914
seg_301c1e,7.7788663
seg_324447,7.196433
seg_1e0523,3.6434126
seg_702e03,4.121006
seg_fedbd1,8.522006
seg_88a81d,4.8636856
seg_a00985,5.911591
